hours,bool,power_dev,power_met
02-Mar-2019 (09-35-08),0,212.2,178.22299999999996
02-Mar-2019 (09-35-09),0,244.2,178.22299999999996
02-Mar-2019 (09-35-10),0,209.7,178.22299999999996
02-Mar-2019 (09-35-11),0,209.7,178.22299999999996
02-Mar-2019 (09-35-28),0,225.79999999999998,165.56599999999997
02-Mar-2019 (09-35-30),0,192.9,165.56599999999997
02-Mar-2019 (09-35-31),0,192.9,165.56599999999997
02-Mar-2019 (09-35-48),0,210.6,167.155
02-Mar-2019 (09-35-49),0,210.6,167.155
02-Mar-2019 (09-35-50),0,210.6,167.155
02-Mar-2019 (09-35-51),0,210.6,167.155
02-Mar-2019 (09-36-08),0,227.7,162.745
02-Mar-2019 (09-36-09),0,188.7,162.745
02-Mar-2019 (09-36-11),0,217.79999999999998,162.745
02-Mar-2019 (09-36-28),0,237.7,159.893
02-Mar-2019 (09-36-29),0,204.5,159.893
02-Mar-2019 (09-36-30),0,204.5,159.893
02-Mar-2019 (09-36-31),0,204.5,159.893
02-Mar-2019 (09-36-48),0,235.9,157.201
02-Mar-2019 (09-36-49),0,235.9,157.201
02-Mar-2019 (09-36-50),0,235.9,157.201
02-Mar-2019 (09-36-51),0,235.9,157.201
02-Mar-2019 (09-37-08),0,226.6,155.798
02-Mar-2019 (09-37-11),0,228.79999999999998,155.798
02-Mar-2019 (09-37-28),0,233.7,153.606
02-Mar-2019 (09-37-29),0,192.29999999999998,153.606
02-Mar-2019 (09-37-30),0,192.29999999999998,153.606
02-Mar-2019 (09-37-31),0,225.9,153.606
02-Mar-2019 (09-37-48),0,234.1,152.115
02-Mar-2019 (09-37-49),0,234.1,152.115
02-Mar-2019 (09-37-50),0,234.1,152.115
02-Mar-2019 (09-37-51),0,234.1,152.115
02-Mar-2019 (09-38-08),0,241.9,152.734
02-Mar-2019 (09-38-09),0,195.7,152.734
02-Mar-2019 (09-38-10),0,195.7,152.734
02-Mar-2019 (09-38-11),0,195.7,152.734
02-Mar-2019 (09-38-15),0,805.8000000000001,381.55800000000005
02-Mar-2019 (09-38-16),0,805.8000000000001,381.55800000000005
02-Mar-2019 (09-41-53),0,2473.3,1651.375
02-Mar-2019 (09-49-54),0,214.0,135.209
02-Mar-2019 (09-49-55),0,214.0,135.209
02-Mar-2019 (09-49-56),0,214.0,135.209
