hours,bool,power_dev,power_met
13-Jan-2019 (17-42-21),0,880.2,262.754
13-Jan-2019 (17-42-22),0,880.2,262.754
13-Jan-2019 (17-42-23),0,880.2,262.754
13-Jan-2019 (17-42-24),0,880.2,262.754
13-Jan-2019 (17-43-06),0,2575.6,1367.0739999999996
13-Jan-2019 (17-43-07),0,2575.6,1367.0739999999996
13-Jan-2019 (17-43-08),0,2575.6,1367.0739999999996
13-Jan-2019 (17-43-09),0,2575.6,1367.0739999999996
13-Jan-2019 (17-43-10),0,2575.6,1597.726
13-Jan-2019 (17-43-11),0,2575.6,1597.726
13-Jan-2019 (17-43-12),0,2575.6,1597.726
13-Jan-2019 (17-43-13),0,2575.6,1597.726
13-Jan-2019 (17-43-14),0,2575.6,1597.726
13-Jan-2019 (17-43-15),0,2575.6,1608.8270000000002
13-Jan-2019 (17-43-16),0,2575.6,1608.8270000000002
13-Jan-2019 (17-43-17),0,2575.6,1608.8270000000002
13-Jan-2019 (17-43-18),0,2575.6,1608.8270000000002
13-Jan-2019 (17-43-19),0,2575.6,1608.8270000000002
13-Jan-2019 (17-43-20),0,2575.6,1553.6629999999998
13-Jan-2019 (17-43-21),0,2575.6,1553.6629999999998
13-Jan-2019 (17-43-22),0,2575.6,1553.6629999999998
13-Jan-2019 (17-43-23),0,2575.6,1553.6629999999998
13-Jan-2019 (17-43-24),0,2575.6,1553.6629999999998
13-Jan-2019 (17-43-25),0,2575.6,1324.312
13-Jan-2019 (17-43-26),0,2575.6,1324.312
13-Jan-2019 (17-43-27),0,2575.6,1324.312
13-Jan-2019 (17-43-28),0,2575.6,1324.312
13-Jan-2019 (17-43-29),0,2575.6,1324.312
13-Jan-2019 (17-43-30),0,2575.6,1325.052
13-Jan-2019 (17-43-31),0,2575.6,1325.052
13-Jan-2019 (17-43-32),0,2575.6,1325.052
13-Jan-2019 (17-43-33),0,2575.6,1325.052
13-Jan-2019 (17-43-34),0,2575.6,1325.052
13-Jan-2019 (17-43-35),0,2575.6,1322.4260000000004
13-Jan-2019 (17-43-36),0,2575.6,1322.4260000000004
13-Jan-2019 (17-43-37),0,2575.6,1322.4260000000004
13-Jan-2019 (17-43-38),0,2575.6,1322.4260000000004
13-Jan-2019 (17-43-39),0,2575.6,1322.4260000000004
13-Jan-2019 (17-43-40),0,2575.6,1558.14
13-Jan-2019 (17-43-41),0,2575.6,1558.14
13-Jan-2019 (17-43-42),0,2575.6,1558.14
13-Jan-2019 (17-43-43),0,2575.6,1558.14
13-Jan-2019 (17-43-44),0,2575.6,1558.14
13-Jan-2019 (17-43-45),0,2575.6,1532.483
13-Jan-2019 (17-43-46),0,2575.6,1532.483
13-Jan-2019 (17-43-47),0,2575.6,1532.483
13-Jan-2019 (17-43-48),0,2575.6,1532.483
13-Jan-2019 (17-43-49),0,2575.6,1532.483
13-Jan-2019 (17-43-50),0,2575.6,1538.3629999999996
13-Jan-2019 (17-43-51),0,2575.6,1538.3629999999996
13-Jan-2019 (17-43-52),0,2575.6,1538.3629999999996
13-Jan-2019 (17-43-53),0,2575.6,1538.3629999999996
13-Jan-2019 (17-43-54),0,2575.6,1538.3629999999996
13-Jan-2019 (17-43-55),0,2575.6,1321.295
13-Jan-2019 (17-43-56),0,2575.6,1321.295
13-Jan-2019 (17-43-57),0,2575.6,1321.295
13-Jan-2019 (17-43-58),0,2575.6,1321.295
13-Jan-2019 (17-43-59),0,2575.6,1321.295
13-Jan-2019 (17-44-00),0,2575.6,1321.058
13-Jan-2019 (17-44-01),0,2575.6,1321.058
13-Jan-2019 (17-44-02),0,2575.6,1321.058
13-Jan-2019 (17-44-03),0,2575.6,1321.058
13-Jan-2019 (17-44-04),0,2575.6,1321.058
13-Jan-2019 (17-44-05),0,2575.6,1321.146
13-Jan-2019 (17-44-06),0,2575.6,1321.146
13-Jan-2019 (17-44-07),0,2575.6,1321.146
13-Jan-2019 (17-44-08),0,2575.6,1321.146
13-Jan-2019 (17-44-09),0,2575.6,1321.146
