hours,bool,power_dev,power_met
01-Feb-2019 (12-13-45),0,143.9,140.708
01-Feb-2019 (12-14-05),0,166.7,140.842
01-Feb-2019 (12-14-24),0,137.5,133.371
01-Feb-2019 (12-14-25),0,137.5,133.371
01-Feb-2019 (12-14-44),0,171.3,133.57299999999998
01-Feb-2019 (12-15-03),0,148.4,133.481
01-Feb-2019 (12-15-04),0,148.4,133.481
01-Feb-2019 (12-15-05),0,148.4,133.481
01-Feb-2019 (12-15-17),0,1872.9,1637.573
01-Feb-2019 (12-15-18),0,1872.9,1637.573
01-Feb-2019 (12-15-19),0,1872.9,1637.573
01-Feb-2019 (12-15-20),0,1872.9,1637.573
01-Feb-2019 (12-15-38),0,154.9,139.97
01-Feb-2019 (12-15-39),0,154.9,139.97
01-Feb-2019 (12-15-40),0,154.9,139.97
01-Feb-2019 (12-16-12),0,3000.0,2042.304
01-Feb-2019 (12-16-45),0,3000.0,1992.377
01-Feb-2019 (12-17-02),0,2837.4,2219.087
01-Feb-2019 (12-17-19),0,2645.0,1997.994
01-Feb-2019 (12-17-35),0,3000.0,2010.629
01-Feb-2019 (12-17-52),0,3000.0,2056.311
01-Feb-2019 (12-18-09),0,3000.0,2010.69
01-Feb-2019 (12-18-10),0,3000.0,2010.69
01-Feb-2019 (12-18-26),0,2638.4,2285.953
01-Feb-2019 (12-18-42),0,3000.0,2145.085
01-Feb-2019 (12-18-59),0,3000.0,2104.111
01-Feb-2019 (12-19-16),0,3000.0,2146.473
01-Feb-2019 (12-20-07),0,2441.6,2080.598
01-Feb-2019 (12-20-23),0,3000.0,2032.349
01-Feb-2019 (12-20-40),0,2660.4,2046.475
01-Feb-2019 (12-20-56),0,3000.0,2113.538
01-Feb-2019 (12-20-57),0,2235.5,2113.538
01-Feb-2019 (12-21-13),0,3000.0,2041.906
01-Feb-2019 (12-21-30),0,3000.0,2028.395
01-Feb-2019 (12-21-47),0,2651.2,2075.889
01-Feb-2019 (12-22-20),0,3000.0,2011.088
01-Feb-2019 (12-22-37),0,3000.0,2131.495
01-Feb-2019 (12-22-54),0,2653.4,2221.322
01-Feb-2019 (12-23-10),0,3000.0,2215.581
01-Feb-2019 (12-23-27),0,3000.0,2255.455
01-Feb-2019 (12-23-44),0,3000.0,2189.502
01-Feb-2019 (12-24-01),0,2625.0,2280.1855
01-Feb-2019 (12-24-17),0,3000.0,2218.519
01-Feb-2019 (12-24-34),0,3000.0,2205.317
01-Feb-2019 (12-24-51),0,3000.0,2335.756
01-Feb-2019 (12-25-24),0,3000.0,2213.361
01-Feb-2019 (12-25-41),0,3000.0,2225.995
01-Feb-2019 (12-25-58),0,2846.6,2165.004
01-Feb-2019 (12-26-15),0,2644.5,2213.639
01-Feb-2019 (12-26-48),0,3000.0,2217.192
01-Feb-2019 (12-27-05),0,2467.8,2263.395666666667
01-Feb-2019 (12-27-21),0,3000.0,2259.699
01-Feb-2019 (12-27-38),0,3000.0,2183.926
01-Feb-2019 (12-27-55),0,3000.0,2186.998
01-Feb-2019 (12-28-12),0,2664.7,2281.694
01-Feb-2019 (12-28-28),0,3000.0,2215.101
01-Feb-2019 (12-28-29),0,2233.5,2215.101
01-Feb-2019 (12-28-45),0,3000.0,2215.018
01-Feb-2019 (12-29-02),0,3000.0,2256.658
01-Feb-2019 (12-29-19),0,2453.7,2206.019
01-Feb-2019 (12-29-35),0,3000.0,2205.306
01-Feb-2019 (12-29-36),0,3000.0,2391.284
01-Feb-2019 (12-29-37),0,3000.0,2391.284
01-Feb-2019 (12-29-38),0,3000.0,2391.284
01-Feb-2019 (12-29-39),0,3000.0,2391.284
01-Feb-2019 (12-29-40),0,3000.0,2391.284
01-Feb-2019 (12-29-52),0,3000.0,2255.088
01-Feb-2019 (12-30-09),0,3000.0,2213.924
01-Feb-2019 (12-30-10),0,3000.0,2213.924
01-Feb-2019 (12-30-26),0,2660.3,2389.488
01-Feb-2019 (12-30-42),0,3000.0,2239.31
01-Feb-2019 (12-30-59),0,3000.0,2217.228
01-Feb-2019 (12-31-16),0,3000.0,2321.841
01-Feb-2019 (12-31-33),0,2644.8,2215.261
01-Feb-2019 (12-31-34),0,2644.8,2215.261
01-Feb-2019 (12-31-35),0,2644.8,2215.261
01-Feb-2019 (12-31-36),0,2644.8,2325.636
01-Feb-2019 (12-31-37),0,2644.8,2325.636
01-Feb-2019 (12-31-38),0,2644.8,2325.636
01-Feb-2019 (12-31-39),0,2644.8,2325.636
01-Feb-2019 (12-31-40),0,2644.8,2325.636
01-Feb-2019 (12-31-49),0,3000.0,2211.879
01-Feb-2019 (12-32-23),0,2988.0,2163.248
01-Feb-2019 (12-32-40),0,2984.9,2157.698
01-Feb-2019 (12-32-56),0,3000.0,2266.189
01-Feb-2019 (12-33-13),0,3000.0,2208.42
01-Feb-2019 (12-33-47),0,2647.0,2252.806
01-Feb-2019 (12-34-20),0,3000.0,2198.021
01-Feb-2019 (12-34-37),0,3000.0,2239.1910000000007
01-Feb-2019 (12-34-54),0,2825.1,2193.777
01-Feb-2019 (12-35-11),0,2402.1,2352.975
01-Feb-2019 (12-35-27),0,3000.0,2207.516
01-Feb-2019 (12-35-44),0,3000.0,2170.9770000000008
01-Feb-2019 (12-36-01),0,2625.6,2276.9695
01-Feb-2019 (12-36-02),0,2625.6,2276.9695
01-Feb-2019 (12-36-03),0,2625.6,2276.9695
01-Feb-2019 (12-36-04),0,2625.6,2276.9695
01-Feb-2019 (12-36-05),0,2625.6,2276.9695
01-Feb-2019 (12-36-06),0,2625.6,2301.571
01-Feb-2019 (12-36-07),0,2625.6,2301.571
01-Feb-2019 (12-36-08),0,2625.6,2301.571
01-Feb-2019 (12-36-09),0,2625.6,2301.571
01-Feb-2019 (12-36-10),0,2625.6,2301.571
01-Feb-2019 (12-36-34),0,3000.0,2190.173
01-Feb-2019 (12-37-46),0,1132.1,870.205
01-Feb-2019 (12-37-47),0,1132.1,870.205
01-Feb-2019 (12-37-48),0,1132.1,870.205
01-Feb-2019 (12-37-49),0,1132.1,870.205
01-Feb-2019 (12-37-50),0,1132.1,870.205
01-Feb-2019 (12-37-59),0,3000.0,2186.843
01-Feb-2019 (12-38-00),0,3000.0,2186.843
01-Feb-2019 (12-38-01),0,3000.0,2293.156
01-Feb-2019 (12-38-02),0,3000.0,2293.156
01-Feb-2019 (12-38-03),0,3000.0,2293.156
01-Feb-2019 (12-38-04),0,3000.0,2293.156
01-Feb-2019 (12-38-05),0,3000.0,2293.156
01-Feb-2019 (12-38-06),0,3000.0,2308.645
01-Feb-2019 (12-38-07),0,3000.0,2308.645
01-Feb-2019 (12-38-08),0,3000.0,2308.645
01-Feb-2019 (12-38-09),0,3000.0,2308.645
01-Feb-2019 (12-38-10),0,3000.0,2308.645
01-Feb-2019 (12-38-16),0,2623.1,2356.14
01-Feb-2019 (12-38-32),0,3000.0,2206.375
01-Feb-2019 (12-38-33),0,3000.0,2206.375
01-Feb-2019 (12-38-34),0,3000.0,2206.375
01-Feb-2019 (12-38-35),0,3000.0,2206.375
01-Feb-2019 (12-38-36),0,3000.0,2293.305
01-Feb-2019 (12-38-37),0,3000.0,2293.305
01-Feb-2019 (12-38-38),0,3000.0,2293.305
01-Feb-2019 (12-38-39),0,3000.0,2293.305
01-Feb-2019 (12-38-40),0,3000.0,2293.305
01-Feb-2019 (12-38-49),0,3000.0,2190.401
01-Feb-2019 (12-39-06),0,3000.0,2313.529
01-Feb-2019 (12-39-07),0,3000.0,2313.529
01-Feb-2019 (12-39-08),0,3000.0,2313.529
01-Feb-2019 (12-39-09),0,3000.0,2313.529
01-Feb-2019 (12-39-10),0,3000.0,2313.529
01-Feb-2019 (12-40-51),0,1537.0,1447.929
01-Feb-2019 (12-40-52),0,1537.0,1447.929
01-Feb-2019 (12-40-53),0,1537.0,1447.929
01-Feb-2019 (12-40-54),0,1537.0,1447.929
01-Feb-2019 (12-40-55),0,1537.0,1447.929
01-Feb-2019 (12-41-03),0,3000.0,2198.956
01-Feb-2019 (12-41-04),0,3000.0,2198.956
01-Feb-2019 (12-41-05),0,3000.0,2198.956
01-Feb-2019 (12-41-06),0,3000.0,2324.175
01-Feb-2019 (12-41-07),0,3000.0,2324.175
01-Feb-2019 (12-41-08),0,3000.0,2324.175
01-Feb-2019 (12-41-09),0,3000.0,2324.175
01-Feb-2019 (12-41-10),0,3000.0,2324.175
01-Feb-2019 (12-41-20),0,3000.0,2199.209
01-Feb-2019 (12-41-53),0,3000.0,1995.656
01-Feb-2019 (12-42-10),0,297.1,140.749
01-Feb-2019 (12-42-27),0,293.8,193.541
01-Feb-2019 (12-42-28),0,293.8,193.541
01-Feb-2019 (12-42-29),0,293.8,193.541
01-Feb-2019 (12-42-30),0,293.8,193.541
01-Feb-2019 (12-43-17),0,307.2,296.539
01-Feb-2019 (12-43-18),0,307.2,296.539
01-Feb-2019 (12-43-19),0,307.2,296.539
01-Feb-2019 (12-43-20),0,307.2,296.539
01-Feb-2019 (12-43-34),0,324.9,259.809
01-Feb-2019 (12-43-35),0,324.9,259.809
01-Feb-2019 (12-44-11),0,801.6,363.659
01-Feb-2019 (12-44-12),0,1984.2,363.659
01-Feb-2019 (12-44-13),0,1984.2,363.659
01-Feb-2019 (12-44-14),0,1984.2,363.659
01-Feb-2019 (12-44-15),0,1984.2,363.659
01-Feb-2019 (12-44-24),0,3000.0,2108.205
01-Feb-2019 (12-44-41),0,3000.0,2226.862
01-Feb-2019 (12-44-58),0,2844.3,2125.491
01-Feb-2019 (12-44-59),0,2844.3,2125.491
01-Feb-2019 (12-45-00),0,2844.3,2125.491
01-Feb-2019 (12-45-01),0,2844.3,2194.7476666666666
01-Feb-2019 (12-45-02),0,2844.3,2194.7476666666666
01-Feb-2019 (12-45-03),0,2844.3,2194.7476666666666
01-Feb-2019 (12-45-04),0,2844.3,2194.7476666666666
01-Feb-2019 (12-45-05),0,2844.3,2194.7476666666666
01-Feb-2019 (12-45-06),0,2844.3,2219.567
01-Feb-2019 (12-45-07),0,2844.3,2219.567
01-Feb-2019 (12-45-08),0,2844.3,2219.567
01-Feb-2019 (12-45-09),0,2844.3,2219.567
01-Feb-2019 (12-45-10),0,2844.3,2219.567
01-Feb-2019 (12-45-48),0,313.8,247.036
01-Feb-2019 (12-45-49),0,313.8,247.036
01-Feb-2019 (12-45-50),0,313.8,247.036
01-Feb-2019 (12-46-05),0,310.5,242.895
01-Feb-2019 (12-46-55),0,299.1,246.576
01-Feb-2019 (12-47-12),0,293.3,292.212
01-Feb-2019 (12-47-45),0,313.3,245.482
01-Feb-2019 (12-48-52),0,307.0,278.262
01-Feb-2019 (12-49-09),0,309.1,250.402
01-Feb-2019 (12-49-10),0,309.1,250.402
01-Feb-2019 (12-49-59),0,297.7,243.101
01-Feb-2019 (12-50-00),0,297.7,243.101
01-Feb-2019 (12-51-23),0,299.8,240.783
01-Feb-2019 (12-51-24),0,299.8,240.783
01-Feb-2019 (12-51-25),0,299.8,240.783
01-Feb-2019 (12-52-13),0,307.5,243.251
01-Feb-2019 (12-52-30),0,315.7,258.529
01-Feb-2019 (12-53-20),0,300.2,257.749
01-Feb-2019 (12-53-37),0,305.9,303.0440000000001
01-Feb-2019 (12-53-38),0,305.9,303.0440000000001
01-Feb-2019 (12-53-39),0,305.9,303.0440000000001
01-Feb-2019 (12-53-40),0,305.9,303.0440000000001
01-Feb-2019 (12-54-44),0,277.0,245.146
01-Feb-2019 (12-56-08),0,273.7,258.317
01-Feb-2019 (12-56-09),0,273.7,258.317
01-Feb-2019 (12-56-10),0,273.7,258.317
01-Feb-2019 (12-56-58),0,320.5,254.238
01-Feb-2019 (12-56-59),0,320.5,254.238
01-Feb-2019 (12-57-00),0,320.5,254.238
01-Feb-2019 (12-58-05),0,315.0,251.46
01-Feb-2019 (12-58-22),0,311.4,287.922
01-Feb-2019 (12-58-23),0,311.4,287.922
01-Feb-2019 (12-58-24),0,311.4,287.922
01-Feb-2019 (12-58-25),0,311.4,287.922
01-Feb-2019 (12-58-39),0,289.3,253.381
01-Feb-2019 (12-58-40),0,289.3,253.381
01-Feb-2019 (12-59-12),0,300.0,293.704
01-Feb-2019 (13-00-19),0,303.0,253.185
01-Feb-2019 (13-01-09),0,309.3,253.877
01-Feb-2019 (13-01-10),0,309.3,253.877
01-Feb-2019 (13-04-57),0,314.0,274.023
01-Feb-2019 (13-04-58),0,314.0,274.023
