hours,bool,power_dev,power_met
02-May-2019 (06-55-21),0,1006.6,333.23800000000006
02-May-2019 (06-55-44),0,2428.1,2132.967
02-May-2019 (06-55-58),0,816.4,220.74
02-May-2019 (06-55-59),0,1948.8,220.74
02-May-2019 (06-56-00),0,3000.0,220.74
02-May-2019 (06-56-01),0,2012.5,220.74
02-May-2019 (06-56-17),0,3000.0,2235.97
02-May-2019 (06-56-18),0,3000.0,2235.97
02-May-2019 (06-56-19),0,3000.0,2235.97
02-May-2019 (06-56-20),0,3000.0,2235.97
02-May-2019 (06-56-21),0,3000.0,2235.97
02-May-2019 (06-56-22),0,3000.0,2222.726
02-May-2019 (06-56-23),0,3000.0,2222.726
02-May-2019 (06-56-24),0,3000.0,2222.726
02-May-2019 (06-56-25),0,3000.0,2222.726
02-May-2019 (06-56-26),0,3000.0,2222.726
02-May-2019 (06-56-27),0,3000.0,2222.169
02-May-2019 (06-56-28),0,3000.0,2222.169
02-May-2019 (06-56-29),0,3000.0,2222.169
02-May-2019 (06-56-33),0,3000.0,2137.139
02-May-2019 (06-57-07),0,3000.0,2247.814
02-May-2019 (06-57-24),0,2669.2,2124.2470000000008
02-May-2019 (06-57-25),0,2669.2,2124.2470000000008
02-May-2019 (06-57-26),0,2669.2,2124.2470000000008
02-May-2019 (06-57-27),0,2669.2,2209.37
02-May-2019 (06-57-28),0,2669.2,2209.37
02-May-2019 (06-57-29),0,2669.2,2209.37
02-May-2019 (06-57-40),0,3000.0,2096.614
02-May-2019 (06-58-14),0,3000.0,2091.807
02-May-2019 (06-58-31),0,2467.0,2085.524
02-May-2019 (06-58-47),0,3000.0,2192.6
02-May-2019 (06-59-04),0,3000.0,2109.351
02-May-2019 (06-59-21),0,3000.0,2104.503
02-May-2019 (06-59-22),0,3000.0,2224.869
02-May-2019 (06-59-23),0,3000.0,2224.869
02-May-2019 (06-59-24),0,3000.0,2224.869
02-May-2019 (06-59-25),0,3000.0,2224.869
02-May-2019 (06-59-26),0,3000.0,2224.869
02-May-2019 (06-59-27),0,3000.0,2209.948
