hours,bool,power_dev,power_met
06-Apr-2019 (18-54-55),0,71.2,45.273
06-Apr-2019 (18-55-12),0,62.2,53.838
06-Apr-2019 (18-55-14),0,79.3,53.838
06-Apr-2019 (18-55-23),0,68.3,45.036
06-Apr-2019 (18-55-24),0,68.3,45.036
06-Apr-2019 (18-55-25),0,68.3,45.036
06-Apr-2019 (18-55-37),0,66.3,55.004
06-Apr-2019 (18-55-38),0,66.3,55.004
06-Apr-2019 (18-55-39),0,66.3,55.004
06-Apr-2019 (18-55-40),0,66.3,55.004
06-Apr-2019 (18-55-48),0,54.6,45.155
06-Apr-2019 (18-55-49),0,54.6,45.155
06-Apr-2019 (18-55-50),0,54.6,45.155
06-Apr-2019 (18-56-28),0,63.1,51.714
06-Apr-2019 (18-56-29),0,63.1,51.714
06-Apr-2019 (18-56-30),0,63.1,51.714
06-Apr-2019 (18-56-39),0,80.7,44.727
06-Apr-2019 (18-56-40),0,80.7,44.727
06-Apr-2019 (18-56-55),0,73.5,51.74
06-Apr-2019 (18-57-22),0,1477.0,1187.521
06-Apr-2019 (18-57-23),0,1477.0,1187.521
06-Apr-2019 (18-57-24),0,1477.0,1187.521
06-Apr-2019 (18-57-25),0,1477.0,1187.521
06-Apr-2019 (18-57-38),0,1151.6,164.697
06-Apr-2019 (18-57-39),0,1151.6,164.697
06-Apr-2019 (18-57-40),0,1803.1,164.697
06-Apr-2019 (18-58-09),0,330.2,174.24200000000005
06-Apr-2019 (18-58-10),0,1660.7,174.24200000000005
06-Apr-2019 (18-59-14),0,1177.7,181.018
06-Apr-2019 (18-59-15),0,1807.8,181.018
06-Apr-2019 (19-08-46),0,1807.8,1796.336
06-Apr-2019 (19-08-47),0,1807.8,1796.336
06-Apr-2019 (19-08-48),0,1807.8,1796.336
06-Apr-2019 (19-08-49),0,1807.8,1796.336
06-Apr-2019 (19-08-50),0,1807.8,1796.336
06-Apr-2019 (19-11-16),0,1807.8,1802.823
06-Apr-2019 (19-11-17),0,1807.8,1802.823
06-Apr-2019 (19-11-18),0,1807.8,1802.823
06-Apr-2019 (19-11-19),0,1807.8,1802.823
06-Apr-2019 (19-11-20),0,1807.8,1802.823
06-Apr-2019 (19-11-26),0,1807.8,1721.588
06-Apr-2019 (19-11-27),0,1807.8,1721.588
06-Apr-2019 (19-11-28),0,1807.8,1721.588
06-Apr-2019 (19-11-29),0,1807.8,1721.588
06-Apr-2019 (19-11-30),0,1807.8,1721.588
06-Apr-2019 (19-11-36),0,1807.8,1807.02
06-Apr-2019 (19-11-37),0,1807.8,1807.02
06-Apr-2019 (19-11-38),0,1807.8,1807.02
06-Apr-2019 (19-11-39),0,1807.8,1807.02
06-Apr-2019 (19-11-40),0,1807.8,1807.02
06-Apr-2019 (19-11-41),0,1807.8,1722.469
06-Apr-2019 (19-11-42),0,1807.8,1722.469
06-Apr-2019 (19-11-43),0,1807.8,1722.469
06-Apr-2019 (19-11-44),0,1807.8,1722.469
06-Apr-2019 (19-11-45),0,1807.8,1722.469
06-Apr-2019 (19-11-46),0,1807.8,1798.533
06-Apr-2019 (19-11-47),0,1807.8,1798.533
06-Apr-2019 (19-11-48),0,1807.8,1798.533
06-Apr-2019 (19-11-49),0,1807.8,1798.533
06-Apr-2019 (19-11-50),0,1807.8,1798.533
06-Apr-2019 (19-11-51),0,1807.8,1803.668
06-Apr-2019 (19-11-52),0,1807.8,1803.668
06-Apr-2019 (19-11-53),0,1807.8,1803.668
06-Apr-2019 (19-11-54),0,1807.8,1803.668
06-Apr-2019 (19-11-55),0,1807.8,1803.668
06-Apr-2019 (19-11-56),0,1807.8,1801.204
06-Apr-2019 (19-11-57),0,1807.8,1801.204
06-Apr-2019 (19-11-58),0,1807.8,1801.204
06-Apr-2019 (19-11-59),0,1807.8,1801.204
06-Apr-2019 (19-12-00),0,1807.8,1801.204
06-Apr-2019 (19-12-01),0,1807.8,1791.561333333333
06-Apr-2019 (19-12-02),0,1807.8,1791.561333333333
06-Apr-2019 (19-12-03),0,1807.8,1791.561333333333
06-Apr-2019 (19-12-04),0,1807.8,1791.561333333333
06-Apr-2019 (19-12-05),0,1807.8,1791.561333333333
06-Apr-2019 (19-12-06),0,1807.8,1795.7220000000002
06-Apr-2019 (19-12-07),0,1807.8,1795.7220000000002
06-Apr-2019 (19-12-08),0,1807.8,1795.7220000000002
06-Apr-2019 (19-12-09),0,1807.8,1795.7220000000002
06-Apr-2019 (19-12-10),0,1807.8,1795.7220000000002
06-Apr-2019 (19-12-11),0,1807.8,1803.844
06-Apr-2019 (19-12-12),0,1807.8,1803.844
06-Apr-2019 (19-12-13),0,1807.8,1803.844
06-Apr-2019 (19-12-14),0,1807.8,1803.844
06-Apr-2019 (19-12-15),0,1807.8,1803.844
06-Apr-2019 (19-12-21),0,1807.8,1803.287
06-Apr-2019 (19-12-22),0,1807.8,1803.287
06-Apr-2019 (19-12-23),0,1807.8,1803.287
06-Apr-2019 (19-12-24),0,1807.8,1803.287
06-Apr-2019 (19-12-25),0,1807.8,1803.287
06-Apr-2019 (19-12-26),0,1807.8,1801.389
06-Apr-2019 (19-12-27),0,1807.8,1801.389
06-Apr-2019 (19-12-28),0,1807.8,1801.389
06-Apr-2019 (19-12-29),0,1807.8,1801.389
06-Apr-2019 (19-12-30),0,1807.8,1801.389
06-Apr-2019 (19-12-46),0,1807.8,1720.092
06-Apr-2019 (19-12-47),0,1807.8,1720.092
06-Apr-2019 (19-12-48),0,1807.8,1720.092
06-Apr-2019 (19-12-49),0,1807.8,1720.092
06-Apr-2019 (19-12-50),0,1807.8,1720.092
06-Apr-2019 (19-13-01),0,1807.8,1735.948
06-Apr-2019 (19-13-02),0,1807.8,1735.948
06-Apr-2019 (19-13-03),0,1807.8,1735.948
06-Apr-2019 (19-13-04),0,1807.8,1735.948
06-Apr-2019 (19-13-05),0,1807.8,1735.948
06-Apr-2019 (19-13-37),0,154.4,141.08100000000005
06-Apr-2019 (19-13-56),0,161.0,139.65200000000002
06-Apr-2019 (19-13-57),0,161.0,139.65200000000002
06-Apr-2019 (19-13-58),0,161.0,139.65200000000002
06-Apr-2019 (19-13-59),0,161.0,139.65200000000002
06-Apr-2019 (19-14-00),0,161.0,139.65200000000002
06-Apr-2019 (19-14-01),0,161.0,143.035
06-Apr-2019 (19-14-02),0,161.0,143.035
06-Apr-2019 (19-14-03),0,161.0,143.035
06-Apr-2019 (19-14-04),0,161.0,143.035
06-Apr-2019 (19-14-07),0,147.1,47.486
06-Apr-2019 (19-14-08),0,801.2,47.486
