hours,bool,power_dev,power_met
02-Jan-2019 (09-26-49),0,925.0,349.372
02-Jan-2019 (09-26-50),0,1805.8,349.372
02-Jan-2019 (09-26-51),0,1805.8,349.372
02-Jan-2019 (09-26-52),0,1805.8,349.372
02-Jan-2019 (09-26-53),0,1805.8,349.372
02-Jan-2019 (09-27-15),0,1634.5,356.611
02-Jan-2019 (09-27-16),0,1634.5,356.611
02-Jan-2019 (09-27-17),0,1634.5,356.611
02-Jan-2019 (09-27-18),0,1634.5,356.611
02-Jan-2019 (09-27-42),0,1167.2,358.272
02-Jan-2019 (09-27-43),0,1812.1,358.272
02-Jan-2019 (09-30-19),0,1352.5,888.971
02-Jan-2019 (09-30-20),0,1815.2,888.971
02-Jan-2019 (09-30-21),0,1815.2,888.971
02-Jan-2019 (09-30-22),0,1815.2,888.971
02-Jan-2019 (09-30-23),0,1815.2,888.971
02-Jan-2019 (09-39-55),0,247.3,130.072
02-Jan-2019 (10-45-24),0,286.9,250.13
02-Jan-2019 (10-45-25),0,286.9,250.13
02-Jan-2019 (10-45-26),0,286.9,250.13
02-Jan-2019 (10-45-27),0,286.9,250.13
02-Jan-2019 (10-45-28),0,286.9,250.13
02-Jan-2019 (10-45-29),0,286.9,253.286
02-Jan-2019 (10-45-30),0,286.9,253.286
02-Jan-2019 (10-45-31),0,286.9,253.286
02-Jan-2019 (10-49-15),0,365.1,306.996
02-Jan-2019 (10-51-10),0,701.2,304.3040000000001
02-Jan-2019 (10-53-06),0,372.9,366.28
02-Jan-2019 (11-01-03),0,271.7,227.225
02-Jan-2019 (11-01-16),0,259.9,250.512
02-Jan-2019 (11-01-17),0,259.9,250.512
02-Jan-2019 (11-01-18),0,259.9,250.512
02-Jan-2019 (11-01-31),0,284.8,225.075
02-Jan-2019 (11-01-32),0,284.8,225.075
02-Jan-2019 (11-01-33),0,284.8,225.075
02-Jan-2019 (11-01-59),0,347.3,343.282
02-Jan-2019 (11-02-00),0,347.3,343.282
02-Jan-2019 (11-02-27),0,255.5,248.609
02-Jan-2019 (11-02-28),0,255.5,248.609
02-Jan-2019 (11-02-41),0,269.1,238.296
02-Jan-2019 (11-02-42),0,269.1,238.296
02-Jan-2019 (11-03-10),0,291.6,184.065
02-Jan-2019 (11-03-38),0,342.4,154.89
02-Jan-2019 (11-03-52),0,250.7,148.217
02-Jan-2019 (11-03-53),0,250.7,148.217
02-Jan-2019 (11-04-06),0,298.0,152.069
02-Jan-2019 (11-04-07),0,298.0,152.069
02-Jan-2019 (11-04-08),0,298.0,152.069
02-Jan-2019 (11-04-25),0,315.4,161.289
02-Jan-2019 (11-04-26),0,315.4,161.289
02-Jan-2019 (11-04-27),0,315.4,161.289
02-Jan-2019 (11-04-28),0,315.4,161.289
02-Jan-2019 (11-04-29),0,315.4,315.065
02-Jan-2019 (11-04-30),0,315.4,315.065
02-Jan-2019 (11-04-31),0,315.4,315.065
02-Jan-2019 (11-04-32),0,315.4,315.065
02-Jan-2019 (11-04-33),0,315.4,315.065
02-Jan-2019 (11-04-34),0,315.4,289.458
02-Jan-2019 (11-04-35),0,315.4,289.458
02-Jan-2019 (11-04-41),0,244.3,159.89700000000005
02-Jan-2019 (11-07-03),0,339.9,308.125
02-Jan-2019 (11-08-52),0,383.7,204.727
02-Jan-2019 (11-10-46),0,760.1,201.014
02-Jan-2019 (11-12-42),0,335.5,280.594
02-Jan-2019 (11-12-43),0,664.3,280.594
02-Jan-2019 (11-13-13),0,381.5,276.258
02-Jan-2019 (11-20-34),0,358.0,251.156
02-Jan-2019 (11-20-35),0,358.0,251.156
02-Jan-2019 (11-20-36),0,358.0,251.156
02-Jan-2019 (11-20-37),0,358.0,251.156
02-Jan-2019 (11-20-38),0,358.0,251.156
02-Jan-2019 (11-20-48),0,210.2,158.922
02-Jan-2019 (11-21-02),0,367.9,170.297
02-Jan-2019 (11-21-03),0,367.9,170.297
02-Jan-2019 (11-21-04),0,367.9,322.532
02-Jan-2019 (11-21-05),0,367.9,322.532
02-Jan-2019 (11-21-06),0,367.9,322.532
02-Jan-2019 (11-21-07),0,367.9,322.532
02-Jan-2019 (11-21-08),0,367.9,322.532
02-Jan-2019 (11-21-16),0,297.4,156.251
02-Jan-2019 (11-21-17),0,297.4,156.251
02-Jan-2019 (11-21-18),0,297.4,156.251
02-Jan-2019 (11-21-19),0,297.4,249.274
02-Jan-2019 (11-21-20),0,297.4,249.274
02-Jan-2019 (11-21-21),0,297.4,249.274
02-Jan-2019 (11-21-22),0,297.4,249.274
02-Jan-2019 (11-21-23),0,297.4,249.274
02-Jan-2019 (11-21-30),0,183.4,154.81799999999996
02-Jan-2019 (11-21-31),0,183.4,154.81799999999996
02-Jan-2019 (11-21-32),0,183.4,154.81799999999996
02-Jan-2019 (11-21-33),0,183.4,154.81799999999996
02-Jan-2019 (11-21-44),0,310.0,197.658
02-Jan-2019 (11-21-45),0,238.0,197.658
02-Jan-2019 (11-21-59),0,298.6,274.494
02-Jan-2019 (11-22-00),0,298.6,274.494
02-Jan-2019 (11-22-01),0,298.6,274.494
02-Jan-2019 (11-22-02),0,298.6,274.494
02-Jan-2019 (11-22-03),0,298.6,274.494
02-Jan-2019 (11-22-04),0,298.6,283.884
02-Jan-2019 (11-22-05),0,298.6,283.884
02-Jan-2019 (11-22-06),0,298.6,283.884
02-Jan-2019 (11-22-13),0,294.7,156.2
02-Jan-2019 (11-22-27),0,322.5,271.509
02-Jan-2019 (11-22-28),0,322.5,271.509
02-Jan-2019 (11-22-41),0,330.7,226.266
02-Jan-2019 (11-22-55),0,344.0,227.168
02-Jan-2019 (11-22-56),0,344.0,227.168
02-Jan-2019 (11-22-57),0,344.0,227.168
02-Jan-2019 (11-22-58),0,344.0,227.168
02-Jan-2019 (11-23-38),0,385.3,223.151
02-Jan-2019 (11-23-52),0,300.5,230.69
02-Jan-2019 (11-23-53),0,300.5,230.69
02-Jan-2019 (11-24-20),0,351.0,231.649
02-Jan-2019 (11-24-21),0,351.0,231.649
02-Jan-2019 (11-24-22),0,351.0,231.649
02-Jan-2019 (11-24-23),0,351.0,231.649
02-Jan-2019 (11-24-24),0,351.0,350.635
02-Jan-2019 (11-24-25),0,351.0,350.635
02-Jan-2019 (11-24-26),0,351.0,350.635
02-Jan-2019 (11-24-27),0,351.0,350.635
02-Jan-2019 (11-24-35),0,320.6,270.735
02-Jan-2019 (11-24-36),0,320.6,270.735
02-Jan-2019 (11-24-37),0,320.6,270.735
02-Jan-2019 (11-24-38),0,320.6,270.735
02-Jan-2019 (11-24-48),0,287.7,229.875
02-Jan-2019 (11-25-03),0,324.4,232.665
02-Jan-2019 (11-25-17),0,320.5,222.909
02-Jan-2019 (11-25-18),0,320.5,222.909
02-Jan-2019 (11-25-31),0,314.7,223.069
02-Jan-2019 (11-25-32),0,314.7,223.069
02-Jan-2019 (11-25-45),0,306.6,146.17
02-Jan-2019 (11-25-59),0,313.3,193.28
02-Jan-2019 (11-26-00),0,313.3,193.28
02-Jan-2019 (11-26-01),0,313.3,193.28
02-Jan-2019 (11-26-02),0,313.3,193.28
02-Jan-2019 (11-26-03),0,313.3,193.28
02-Jan-2019 (11-26-04),0,313.3,279.434
02-Jan-2019 (11-26-05),0,313.3,279.434
02-Jan-2019 (11-26-06),0,313.3,279.434
02-Jan-2019 (11-27-27),0,749.2,199.885
02-Jan-2019 (11-27-28),0,749.2,199.885
02-Jan-2019 (11-29-36),0,792.3,299.8540000000001
02-Jan-2019 (11-31-45),0,831.1,386.98800000000006
02-Jan-2019 (16-18-23),0,147.0,32.454
